"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"1","IFDN","PI300118","PI300118",NA,NA,"294","BAP",NA,NA,0.1777857025,0.03737287959,1.75681,12,NA,NA,"South Africa",NA,-30.559483,22.937506,564,-30.559483
"2","IFDP","PI300119","PI300119",NA,NA,"329","BAP",NA,NA,0.1772434596,0.03931769967,1.780794,12,"Wild",NA,"South Africa",NA,-30.559483,22.937506,396,-30.559483
"3","INML","PI365512_1130","PI365512",NA,NA,"1130","BAP",NA,NA,0.07418099585,0.01111981396,1.125594,8,NA,"Caudatum","KwaZulu-Natal,South Africa",NA,-30.559483,22.937506,400,-30.559483
"4","IFGX","PI533752","PI533752",NA,NA,"54.K.94(Witchweed res.)","BAP","keep",NA,0.0956848646,0.0167960604,1.173015,9,"Breeding",NA,"Ethiopia",NA,-30.559483,22.937506,NA,-30.559483
"5","IZKU","AGG324572SORG","AGG324572SORG","IS29496",NA,NA,"Gates",NA,NA,0.08221153826,0.01453391018,1.166218,16,"Landrace",NA,"Lesotho",NA,-30.260001,27.879999,2180,NA
"6","INTL","7805_AGG324588SORG","AGG324588SORG","IS29472",NA,NA,"Gates",NA,NA,0.07862123757,0.01418967157,1.174087,16,"Landrace",NA,"Lesotho",NA,-30.020242,27.549999,1600,NA
"7","INTM","7806_AGG324589SORG","AGG324589SORG","IS29409",NA,NA,"Gates",NA,NA,0.07238563752,0.01288735647,1.158228,16,"Landrace",NA,"Lesotho",NA,-29.530006,28.149999,2150,NA
"8","INTN","7807_AGG324590SORG","AGG324590SORG","IS29407",NA,NA,"Gates",NA,NA,0.1898179282,0.007479778626,0.964223,16,"Landrace",NA,"Lesotho",NA,-29.530006,28.149999,2150,NA
"9","INTP","7808_AGG324591SORG","AGG324591SORG","IS29375",NA,NA,"Gates",NA,NA,0.07967480396,0.01374322024,1.15967,16,"Landrace",NA,"Lesotho",NA,-29.510002,27.620001,1520,NA
"10","INTH","7801_AGG324582SORG","AGG324582SORG","IS29569",NA,NA,"Gates",NA,NA,0.07151747752,0.01243364033,1.166843,16,"Landrace",NA,"Lesotho",NA,-29.319999,27.479999,1673,NA
"11","INWZ","PI308223","PI308223","IS13791",NA,"IS13791","Gates",NA,NA,0.08506961405,0.01464368759,1.179353,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
"12","INXA","PI308262","PI308262","IS13827",NA,"IS13827","Gates",NA,NA,0.07871466176,0.0137993912,1.140136,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
"13","IXQI","PI308282","PI308282","IS13845",NA,"IS13845","Gates",NA,NA,0.08829489765,0.01512426783,1.147491,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
"14","INXC","PI308374","PI308374","IS13926",NA,"IS13926","Gates",NA,NA,0.3705318371,0.007278808796,0.710127,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
"15","INXD","PI308445","PI308445","IS13989",NA,"IS13989","Gates",NA,NA,0.08019746917,0.01428963013,1.145105,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
"16","JHHJ","PI586470","PI586470","IS27867",NA,"IS27867","Gates",NA,NA,0.07062541379,0.0121046787,1.141419,16,"Landrace,Cultivated","Kafir-bicolor","South Africa",NA,-28.569999,31.059999,NA,NA
"17","ISKK","PI505717_","PI505717",NA,NA,"ZM/A 5290","BAP",NA,NA,0.1074926393,0.01982252725,1.194302,7,"Landrace","Guinea-caudatum","Zambia",NA,-28.53333333,16.25,420,-28.53333333
"18","ISKR","PI505722","PI505722",NA,NA,"ZM/A 5298","BAP",NA,NA,0.1078869121,0.01884461614,1.182805,7,"Landrace","Guinea-caudatum","Zambia",NA,-28.46666667,16.33333333,490,-13.133897
"19","JHHK","PI586472","PI586472","IS27869",NA,"IS27869","Gates",NA,NA,0.07309778551,0.01244125636,1.137645,16,"Landrace,Cultivated","Kafir-bicolor","South Africa",NA,-28.389999,29.950007,NA,-28.39
"20","ISKY","PI505735","PI505735",NA,NA,"ZM/A 5345","BAP",NA,NA,0.1073463052,0.01790630866,1.177201,7,"Landrace","Caudatum","Zambia",NA,-27.8,16.75,580,-27.8
"21","INTJ","7803_AGG324586SORG","AGG324586SORG","IS29233",NA,NA,"Gates",NA,NA,0.07905045086,0.0134014195,1.164134,16,"Landrace",NA,"Eswatini",NA,-26.950002,31.010001,1000,NA
"22","IFMB","PI52606","PI52606","IS12724",NA,"IS12724","BAP",NA,NA,0.05920439695,0.01607249896,1.027352,16,"Landrace","Kafir","South Africa,Limpopo",NA,-26.204103,28.047305,NA,-26.204103
"23","IZKW","AGG324587SORG","AGG324587SORG","IS29310",NA,NA,"Gates",NA,NA,0.08104003389,0.01395057786,1.182477,16,"Landrace",NA,"Eswatini",NA,-26.030001,31.850003,500,NA
"24","JHHL","PI586503","PI586503","IS27906",NA,"IS27906","Gates",NA,NA,0.08205405653,0.01440423545,1.151307,16,"Landrace,Cultivated","Guinea-caudatum","South Africa",NA,-26,29.760002,1350,-26
"25","IZKC","PI563289","PI563289","IS9524",NA,"IS9524","Gates",NA,NA,0.08708628981,0.06999324259,1.024235,3,"Landrace,Cultivated","Kafir-durra","South Africa",NA,-25.746111,28.188056,NA,-25.746111
"26","IQUU","PI668846","PI668846","IS9303",NA,"IS9303","Gates",NA,NA,0.1049734307,0.01871446026,1.068983,5,"Breeding",NA,"South Africa",NA,-25.746111,28.188056,NA,-25.746111
"27","IQUW","PI668958","PI668958","IS9468",NA,"IS9468","Gates",NA,NA,0.07269547084,0.01225732906,1.144807,16,"Breeding",NA,"South Africa",NA,-25.746111,28.188056,NA,-25.746111
"28","IQUX","PI668996","PI668996","IS9527",NA,"IS9527","Gates",NA,NA,0.08182600057,0.01223941442,1.15872,16,"Breeding",NA,"South Africa",NA,-25.746111,28.188056,NA,-25.746111
"29","JHGW","IS9295","PI669749","IS9295",NA,NA,"Gates",NA,NA,0.07233245035,0.01223698821,1.154146,16,"Breeding",NA,"South Africa",NA,-25.746111,28.188056,NA,NA
"30","IFMP","PI586541","PI586541",NA,NA,"TRACY","BAP",NA,NA,0.09237475328,0.01424939175,1.20205,16,"Cultivar","Caudatum-bicolor","Australia",NA,-25.274399,133.775131,NA,-25.274399
"31","JHHI","PI586464","PI586464","IS27856",NA,"IS27856","Gates",NA,NA,0.08084924777,0.01421607218,1.159956,16,"Landrace,Cultivated","Kafir","South Africa",NA,-25.200001,31.2,530,-25.20000076
"32","IXRB","PI510931","PI510931",NA,NA,"Segaolane","Gates",NA,NA,0.1066185727,0.01416226918,1.136001,16,"Cultivar","Caudatum","Botswana",NA,-24.37000084,23.14999962,NA,-24.37000084
"33","ISMW","PI229841","PI229841","IS2382",NA,"IS2382","BAP",NA,NA,0.1069311236,0.01697316589,1.159668,16,"Landrace","Kafir; other","South Africa,Transvaal, South Africa",NA,-23.833333,31.5,NA,-23.833333
"34","JHGS","PI229847","PI229847","IS2416",NA,"IS2416","Gates","keep",NA,0.08927312016,0.01867738456,1.246049,16,"Landrace","Kafir","South Africa,Transvaal",NA,-23.833333,31.5,NA,-23.833333
"35","INWH","PI229856","PI229856","IS2421",NA,"IS2421","Gates",NA,NA,0.07630975845,0.01290538968,1.042,16,"Landrace","Kafir-durra","South Africa,Transvaal",NA,-23.833333,31.5,NA,-23.833333
"36","IFFN","PI586499","PI586499","IS27900",NA,"IS27900","BAP",NA,NA,0.1277645511,0.02025150024,1.167942,19,"Landrace,Cultivated","Kafir-caudatum","South Africa",NA,-23.600003,29.159999,NA,-23.60000038
"37","INTI","7802_AGG324585SORG","AGG324585SORG","IS27855",NA,NA,"Gates",NA,NA,0.131554678,0.02545322489,1.539863,12,"Landrace",NA,"South Africa",NA,-23.379999,30.959999,690,NA
"38","IPBX","PI510957","PI510957","IS22287",NA,"IS22287","Gates",NA,NA,0.108179913,0.0364303235,1.057717,8,"Landrace,Cultivated","Guinea-kafir","Botswana",NA,-23.100002,26.829999,1050,-23.100002
"39","IPBZ","PI510965","PI510965","IS22294",NA,"IS22294","Gates",NA,NA,0.08463166564,0.01323108164,1.154933,16,"Landrace,Cultivated","Durra","Botswana",NA,-23.010002,27.760002,820,-23.010002
"40","IPBU","PI510903","PI510903",NA,NA,"Monoane","Gates",NA,NA,0.07875248622,0.01239143822,1.061632,16,"Cultivar","Caudatum","Botswana",NA,-22.328474,24.684866,NA,-22.328474
"41","IPBW","PI510952","PI510952",NA,NA,"Sweetrid","Gates",NA,NA,0.07545152598,0.01349181233,1.083151,16,"Cultivar","Caudatum-bicolor","Botswana",NA,-22.328474,24.684866,NA,-22.328474
"42","IPBY","PI510961","PI510961",NA,NA,"Matseloje","Gates",NA,NA,0.102483256,0.01968083872,1.172394,7,"Cultivar","Guinea","Botswana",NA,-22.328474,24.684866,NA,-22.328474
"43","IPCA","PI510997","PI510997",NA,NA,"Sakaza","Gates",NA,NA,0.09710624887,0.02318297138,1.16507,16,"Cultivar","Guinea","Botswana",NA,-22.328474,24.684866,NA,-22.328474
"44","IQTM","PI511002","PI511002",NA,NA,"Segaolane","Gates",NA,NA,0.07577051037,0.01392324508,1.141727,16,"Cultivar","Caudatum","Botswana",NA,-22.328474,24.684866,NA,-22.328474
"45","IPCR","PI526790","PI526790",NA,NA,"AMM 502","Gates",NA,NA,0.09064226009,0.0155510786,1.129143,7,"Landrace","Kafir","Zimbabwe",NA,-20.91666667,28.5,1200,NA
"46","IZLI","PI526792","PI526792",NA,NA,"AMM 504","Gates","keep",NA,0.07920845948,0.01462585578,1.180461,16,"Landrace","Kafir-caudatum","Zimbabwe",NA,-20.91666667,28.5,1200,NA
"47","IPCT","PI526796","PI526796",NA,NA,"AMM 508","Gates",NA,NA,0.08301195256,0.01382970578,1.150098,16,"Landrace","Caudatum","Zimbabwe",NA,-20.91666667,28.5,1200,-19.015438
"48","JHGA","PI526835","PI526835",NA,NA,"AMM 586","Gates",NA,NA,0.08129426747,0.01420671924,1.165233,16,"Landrace","Kafir-caudatum","Zimbabwe",NA,-20.91666667,29,1200,NA
"49","IQTE","IS_30001",NA,"IS30001",NA,NA,"Gates",NA,NA,0.1057109244,0.0200211484,1.227377,8,"Landrace",NA,"Zimbabwe",NA,-20.909999,28.459999,1250,NA
"50","IZKQ","PI527141","PI527141",NA,NA,"AMM 1240","Gates",NA,NA,0.09427157765,0.01685352786,1.199332,16,"Landrace",NA,"Zimbabwe",NA,-20.2,32.6,1500,NA
"51","IPCZ","PI527143","PI527143",NA,NA,"AMM 1242","Gates",NA,NA,0.07729580097,0.01288305658,1.210301,16,"Landrace","Durra-bicolor","Zimbabwe",NA,-20.2,32.6,1500,NA
"52","IDWU","PI526905","PI526905",NA,NA,"AMM 721","BAP",NA,NA,0.135298079,0.01124548329,1.049778,5,"Landrace","Caudatum","Zimbabwe",NA,-20.16666667,28.75,1300,-20.16666667
"53","IPBT","PI482785","PI482785",NA,NA,"Chifumbata","Gates",NA,NA,0.08382309857,0.01387594063,1.157446,16,"Cultivar",NA,"Zimbabwe",NA,-19.83333333,30.55,1100,-19.83333333
"54","IPBS","PI482745","PI482745",NA,NA,"TGR 548","Gates",NA,NA,0.09044470773,0.01733911602,1.245368,16,"Cultivar",NA,"Zimbabwe",NA,-19.55,32.56666667,1030,-19.55
"55","INTF","7799_AGG324579SORG","AGG324579SORG","IS29691",NA,NA,"Gates",NA,NA,0.09858622777,0.02335245534,1.103933,7,"Landrace",NA,"Zimbabwe",NA,-19.520001,31.629999,900,NA
"56","IPCW","PI526892","PI526892",NA,NA,"AMM 703","Gates",NA,NA,0.08160715115,0.01296621163,1.143832,16,"Landrace","Caudatum","Zimbabwe",NA,-19,28.91666667,1200,NA
"57","IXQM","PI526902","PI526902",NA,NA,"AMM 718","Gates",NA,NA,0.1685738114,0.02122293364,1.170819,8,"Landrace","Durra","Zimbabwe",NA,-19,28.91666667,1200,NA
"58","INNA","PI527045_AMM_1051","PI527045",NA,NA,"AMM 1051","BAP",NA,NA,0.09214650321,0.01609599125,1.120283,5,"Landrace","Caudatum","Zimbabwe",NA,-18.58333333,31.58333333,1200,-18.58333333
"59","INSZ","7793_AGG324570SORG","AGG324570SORG","IS30175",NA,NA,"Gates",NA,NA,0.1026401553,0.01881243146,1.153728,7,"Landrace",NA,"Zimbabwe",NA,-18.079999,32.669998,1350,NA
"60","IXQL","PI526741","PI526741",NA,NA,"AMM 364","Gates","keep",NA,0.1256524823,0.01888235158,1.165143,7,"Landrace","Guinea-bicolor","Zimbabwe",NA,-16.26666667,31.5,1290,NA
"61","IXNJ","PI586052","PI586052","IS26682",NA,"IS26682","Gates",NA,NA,0.110754444,0.02044735626,1.223525,7,"Landrace,Cultivated","Guinea","Malawi",NA,-15.729999,34.400001,NA,-15.72999954
"62","INUG","7824_AGG324638SORG","AGG324638SORG","IS23178",NA,NA,"Gates",NA,NA,0.09405735923,0.01687721376,1.179385,19,"Landrace",NA,"Zambia",NA,-15.566666,28.283333,NA,NA
"63","JHFQ","IS21401",NA,"IS21401",NA,NA,"Gates",NA,NA,0.1559211981,0.03601377856,1.657205,12,"Wild",NA,"Malawi",NA,-13.770001,32.979999,NA,NA
"64","IFGG","PI525049","PI525049",NA,NA,"MW 628","BAP",NA,NA,0.1091389459,0.01971867945,1.199791,7,"Cultivar","Guinea","Malawi",NA,-13.254308,34.301525,NA,-13.254308
"65","IPCL","PI521833","PI521833","IS21519",NA,"IS21519","Gates",NA,NA,0.102823371,0.02701087349,1.17821,7,"Landrace,Cultivated","Guinea; other","Malawi",NA,-11.71,33.630001,NA,-11.71
"66","IXNI","PI586035","PI586035","IS26640",NA,"IS26640","Gates",NA,NA,0.100789225,0.01952515597,1.178707,19,"Landrace,Cultivated","Guinea-caudatum","Zambia",NA,-10.17,28.75,NA,-10.17000008
"67","INUI","7826_AGG324640SORG","AGG324640SORG","IS23142",NA,NA,"Gates",NA,NA,0.09930899655,0.01777041341,1.279652,1,"Landrace",NA,"Tanzania",NA,-7.389999,35.790001,1150,NA
"68","IZLJ","AGG324639SORG","AGG324639SORG","IS23166",NA,NA,"Gates","keep",NA,0.1264186493,0.02165129683,1.21477,5,"Wild",NA,"Tanzania",NA,-6.170001,35.729999,NA,NA
"69","JHHQ","PI620520","PI620520","IS32997",NA,"IS32997","Gates",NA,NA,0.1082741413,0.02200867772,1.179355,5,"Landrace","Guinea","Tanzania,Tabora, Tanzania",NA,-4.889999,33.110001,NA,-4.889999866
"70","INUJ","7827_AGG324641SORG","AGG324641SORG","IS23100",NA,NA,"Gates",NA,NA,0.1156128623,0.02191318296,1.217023,7,"Landrace",NA,"Tanzania",NA,-4.820001,34.740001,NA,NA
"71","IQTT","PI620509","PI620509","IS32986",NA,"IS32986","Gates",NA,NA,0.1088094517,0.01995300694,1.278198,7,"Landrace",NA,"Tanzania,Singida",NA,-4.820001,34.740001,1500,-4.820001
"72","IXNG","PI585572","PI585572","IS25456",NA,"IS25456","Gates",NA,NA,0.1000587471,0.02073575526,1.260942,1,"Landrace,Cultivated","Durra-caudatum","Burundi",NA,-4.130001,29.790001,NA,-4.130001
"73","ISGF","PI533956","PI533956",NA,NA,"MN 586 (preconverted)","Gates","keep",NA,0.08677415486,0.01720082883,1.26739,1,"Breeding",NA,"Congo",NA,-4.038333,21.758663,NA,-4.038333
"74","IXPH","PI153852","PI153852","IS12584",NA,"MZEKWA 2","Gates","keep",NA,0.09999166697,0.01738445323,1.158786,1,"Landrace","Caudatum","Kenya",NA,-3.390556,38.576944,NA,-3.349999905
"75","IEAX","PI585577","PI585577","IS25514",NA,"IS25514","BAP",NA,NA,0.131747128,0.01753295691,1.207579,1,"Landrace,Cultivated","Durra-caudatum","Burundi",NA,-3.099999,29.389999,NA,-3.099999
"76","JBPT","PI620578","PI620578","IS33062",NA,"IS33062","Gates",NA,NA,0.0976425575,0.01850089758,1.094356,7,"Landrace","Caudatum-bicolor","Tanzania,Mwanza, Tanzania",NA,-2.829999,33.080001,NA,-2.829999924
"77","IXQE","PI585586","PI585586",NA,NA,"AMASHYIRAHAMWE","Gates",NA,NA,0.1089093094,0.01992763968,1.229669,1,"Cultivar","Caudatum","Rwanda",NA,-2.559999,28.950001,NA,-2.559999
"78","INTC","7796_AGG324574SORG","AGG324574SORG","IS31559",NA,"IZ 93","Gates",NA,NA,0.1030999277,0.01953569824,1.250169,1,"Landrace",NA,"Burundi",NA,-2.349999,29.979999,NA,NA
"79","IZKM","PI585587","PI585587",NA,NA,"KIBUMBURI","Gates",NA,NA,0.1022880884,0.01879328437,1.194968,1,"Cultivar","Caudatum","Rwanda",NA,-2.059999,29.360001,NA,-2.059999
"80","ISNA","PI585608","PI585608",NA,NA,"GIKONDO","BAP",NA,NA,0.1065741483,0.01909338596,1.271609,1,"Cultivar","Caudatum","Rwanda",NA,-1.929999948,30.05999947,NA,-1.929999948
"81","JBQE","PI646391","PI646391","IS33037",NA,"IS33037","Gates",NA,NA,0.09880757293,0.01719175586,1.021386,5,"Landrace","Guinea-caudatum","Tanzania",NA,-1.7,34.279998,NA,-1.700000048
"82","ISMI","PI213900","PI213900","IS3106",NA,"IS3106","BAP",NA,NA,0.1294165148,0.02793919195,1.41841,3,"Landrace",NA,"Kenya,Nairobi City",NA,-1.283333,36.816667,NA,-1.169999957
"83","ISGQ","PI597946","PI597946",NA,NA,"SAP-286","Gates","keep",NA,0.1010312849,0.02016472144,1.301349,5,"Breeding",NA,"Texas, Kenya",NA,-1.169999957,36.47999954,NA,-1.169999957
"84","JHGF","IS21126",NA,"IS21126",NA,NA,"Gates",NA,NA,0.1232714549,0.02998846185,1.327204,5,"Wild",NA,"Kenya",NA,-0.639385,34.217414,NA,NA
"85","IPDC","PI563208","PI563208","IS9168",NA,"IS9168","Gates",NA,NA,0.100139443,0.01806653427,1.244699,9,"Landrace,Cultivated","Kafir-bicolor; other","Kenya",NA,-0.605414,34.745126,NA,-0.605414
"86","INUN","7831_AGG324646SORG","AGG324646SORG","IS21124",NA,"No. 48988","Gates",NA,NA,0.1013293327,0.01802426648,1.106655,5,"Landrace",NA,"Kenya",NA,-0.566666,34.316667,NA,NA
"87","ISJL","PI153844","PI153844","IS12581",NA,"MUHIA","Gates","keep",NA,0.1047453747,0.01971058914,1.189307,1,"Landrace","Caudatum","Kenya",NA,-0.327636,37.647888,NA,NA
"88","ISKZ","PI563196","PI563196","IS9128",NA,"IS9128","BAP",NA,NA,0.1084914933,0.01836089471,1.14795,14,"Landrace,Cultivated","Guinea-caudatum","Kenya",NA,-0.091702,34.767957,NA,-0.091702
"89","IDWE","PI620072;3882-JG-0005","PI620072","IS31384",NA,"IS31384","BAP",NA,NA,0.1699733995,0.01323963874,1.042967,1,"Landrace","Caudatum","Uganda",NA,-0.019999,29.770637,NA,-0.02
"90","IFKM","PI620157","PI620157","IS31475",NA,"IS31475","BAP",NA,NA,0.1113435516,0.01791473785,1.136699,1,"Landrace","Caudatum","Uganda",NA,0.449999,30.200001,NA,0.449999988
"91","JHHP","PI620119","PI620119","IS31434",NA,"IS31434","Gates",NA,NA,0.1013669631,0.01831030882,1.097569,1,"Landrace","Guinea-caudatum","Uganda",NA,0.456108,31.034803,NA,0.4561088
"92","IPFM","PI619900","PI619900","IS31179",NA,"IS31179","Gates",NA,NA,0.1000475163,0.01627236944,1.038729,5,"Landrace",NA,"Uganda",NA,1.049999,34.299999,1280,1.049999
"93","JBQD","PI646296","PI646296","IS31256",NA,"IS31256","Gates",NA,NA,0.09627785446,0.01727382796,1.074792,1,"Landrace",NA,"Uganda",NA,1.220002,33.400001,NA,1.220000029
"94","ISKX","PI297130","PI297130","IS13613",NA,"IS13613","BAP",NA,NA,0.09658840877,0.0164032601,1.035707,5,"Landrace","Caudatum","Uganda",NA,1.373333,32.290276,NA,1.373333
"95","ISLD","PI297155","PI297155","IS13633",NA,"IS13633","BAP",NA,NA,0.08357349598,0.01323211394,1.155702,16,"Landrace","Kafir","Uganda",NA,1.373333,32.290276,NA,1.373333
"96","JBQB","PI646239","PI646239","IS30958",NA,"IS30958","Gates",NA,NA,0.1039151224,0.01956968631,1.206489,1,"Landrace",NA,"Uganda",NA,1.471023,32.299999,NA,1.470000029
"97","IPFN","PI619909","PI619909","IS31195",NA,"IS31195","Gates",NA,NA,0.09389580111,0.01485243388,1.066839,1,"Landrace",NA,"Uganda",NA,1.700001,34.069999,1290,1.700001
"98","IQUG","PI646231","PI646231","IS30898",NA,"IS30898","Gates",NA,NA,0.1028427824,0.01298776565,0.988221,5,"Landrace","other","Uganda",NA,1.860001,33.75,1070,1.860000014
"99","IFKJ","PI646242","PI646242","IS30975",NA,"IS30975","BAP",NA,NA,0.1121791005,0.01884860812,1.104278,1,"Landrace",NA,"Uganda",NA,2.218353,33.398325,NA,2.150000095
"100","IEBA","PI619838","PI619838","IS31083",NA,"IS31083","BAP",NA,NA,0.1257972911,0.0160966687,1.155841,19,"Landrace","Caudatum","Uganda",NA,2.619999,31.930001,NA,2.619999886
"101","JBQC","PI646245","PI646245","IS31006",NA,"IS31006","Gates",NA,NA,0.09674467036,0.01666567197,1.019996,5,"Landrace",NA,"Uganda",NA,2.730001,33.479999,NA,2.730000019
"102","IFKK","PI646251","PI646251","IS31059",NA,"IS31059","BAP",NA,NA,0.1080885963,0.01835079738,1.199565,1,"Landrace","Caudatum","Uganda",NA,2.779999,32.299999,NA,2.779999971
"103","INSU","7789_AGG324563SORG","AGG324563SORG","IS32569",NA,NA,"Gates",NA,NA,0.1265969844,0.02345457703,1.216577,18,"Landrace",NA,"Somalia",NA,2.789999,44.080001,170,NA
"104","IXQQ","PI619860","PI619860","IS31123",NA,"IS31123","Gates","keep",NA,0.1812845479,0.01825307062,1.131059,1,"Landrace",NA,"Uganda",NA,3.029999,30.976293,1100,3.160000086
"105","IFKL","PI646266","PI646266","IS31113",NA,"IS31113","BAP",NA,NA,0.1067191236,0.02365155541,1.075711,1,"Landrace","Caudatum","Uganda",NA,3.029999,30.976293,NA,3.019999981
"106","IDXU","PI619807","PI619807","IS31047",NA,"IS31047","BAP",NA,NA,0.1504293311,0.0117061451,0.94488,5,"Landrace","Guinea-caudatum","Uganda",NA,3.349999,33.330001,NA,3.349999905
"107","ISLA","PI570400","PI570400",NA,NA,"LABALWA","BAP","keep",NA,0.1485928484,0.01638309383,1.21824,1,"Cultivar","Guinea-caudatum","Sudan, South Sudan",NA,3.809999943,30.61000061,NA,NA
"108","IXNU","PI570149","PI570149","IS22927",NA,"IS22927","Gates",NA,NA,0.1037092231,0.02028019612,1.073405,5,"Landrace,Cultivated","Caudatum","Sudan, South Sudan",NA,3.869999,31.629999,NA,3.869999
"109","IEAZ","PI570393","PI570393","IS26849",NA,"IS26849","BAP",NA,NA,0.1945547481,0.01391355189,0.98517,19,"Landrace,Cultivated","Caudatum","Sudan, South Sudan",NA,4.019999,32.470001,NA,4.019999981
"110","IFKP","PI569418","PI569418",NA,NA,"LOTORI","BAP",NA,NA,0.1027659688,0.02027340187,1.009334,1,"Cultivar","Guinea-caudatum; other","Sudan, South Sudan",NA,4.090000153,30.68000031,NA,NA
"111","SAMEA12302809","PI533991","PI533991",NA,NA,"Sinidyil 177","SAP",NA,NA,0.1073116698,0.01182963565,0.999912,9,"Breeding",NA,"Sudan, South Sudan",NA,4.239999771,32.33000183,NA,NA
"112","INUQ","7833_AGG324662SORG","AGG324662SORG","IS14556",NA,NA,"Gates",NA,NA,0.1065404557,0.02087622231,1.212764,6,"Landrace",NA,"Ethiopia",NA,4.510002,35.979999,370,NA
"113","IFIY","PI569419","PI569419",NA,NA,"DERI","BAP",NA,NA,0.1213695282,0.01555182412,1.076113,19,"Cultivar","Caudatum; Guinea-caudatum","Sudan, South Sudan",NA,4.539999962,29.27000046,NA,NA
"114","IFJC","PI569420","PI569420",NA,NA,"GASSABI","BAP",NA,NA,0.1011342761,0.01651891855,1.036916,19,"Cultivar","Guinea-caudatum; other","Sudan, South Sudan",NA,4.539999962,29.27000046,NA,NA
"115","IFFT","PI569453","PI569453",NA,NA,"KELE","BAP",NA,NA,0.1118084263,0.01824675575,1.145066,1,"Cultivar","Guinea-caudatum; other","Sudan, South Sudan",NA,4.849999905,31.61000061,NA,NA
"116","IFIZ","PI569454","PI569454",NA,NA,"DIMERI","BAP",NA,NA,0.123210836,0.02160314166,1.385546,1,"Cultivar","Guinea-caudatum","Sudan, South Sudan",NA,4.849999905,31.61000061,NA,NA
"117","IFFW","PI569455","PI569455",NA,NA,"LORYERYE","BAP",NA,NA,0.1255202631,0.02088096178,1.377428,1,"Cultivar","Guinea-caudatum","Sudan, South Sudan",NA,4.849999905,31.61000061,NA,NA
"118","IXNN","PI337676","PI337676","IS12248",NA,"IS12248","Gates",NA,NA,0.1172763896,0.02501707156,1.543594,11,"Landrace","Durra-bicolor","Ethiopia",NA,5.210003,39.830001,NA,5.210000038
"119","IFKY","PI569422","PI569422",NA,NA,"NYARANGO","BAP",NA,NA,0.1148422028,0.03091143934,0.932804,19,"Cultivar","Caudatum; Guinea-caudatum","Sudan, South Sudan",NA,5.230000019,30.13999939,NA,NA
"120","IFFU","PI569423","PI569423",NA,NA,"KYIKA (CHYIKA)","BAP",NA,NA,0.1270635508,0.02093344361,1.182757,19,"Cultivar","Guinea-caudatum; other","Sudan, South Sudan",NA,5.230000019,30.13999939,NA,NA
"121","IFGD","PI569445","PI569445",NA,NA,"MORO","BAP",NA,NA,0.1260691614,0.0198019337,1.261551,1,"Cultivar","Guinea-caudatum","Sudan, South Sudan",NA,5.230000019,30.13999939,NA,NA
"122","IFDZ","PI569446","PI569446",NA,NA,"DERE","BAP",NA,NA,0.1158071147,0.02033048784,1.206308,19,"Cultivar","Guinea-caudatum","Sudan, South Sudan",NA,5.230000019,30.13999939,NA,NA
"123","IFGL","PI569447","PI569447",NA,NA,"NYARANGO","BAP",NA,NA,0.1207008062,0.01916423931,1.095996,19,"Cultivar","Caudatum; Kafir-caudatum","Sudan, South Sudan",NA,5.230000019,30.13999939,NA,NA
"124","IXPJ","PI329695","PI329695",NA,NA,"Mashila","Gates",NA,NA,0.1206840847,0.02520456382,1.617782,11,NA,NA,"Ethiopia",NA,6.179999828,35.56000137,2130,6.179999828
"125","IXPG","PI571273","PI571273","IS9885",NA,"IS9885","Gates",NA,NA,0.09905376466,0.01767070189,1.026568,19,"Landrace","Caudatum","Sudan, South Sudan",NA,6.48,29.42,NA,6.48
"126","IXPD","PI570518","PI570518","IS3465",NA,"A/68 IS3465","Gates",NA,NA,0.09357728813,0.01959610368,1.120191,5,"Landrace,Cultivated","Caudatum","Sudan",NA,6.560001,30.510001,NA,6.550000191
"127","IFJQ","PI329699","PI329699","IS11435",NA,"IS11435","BAP",NA,NA,0.09756452377,0.0162709858,1.086391,14,"Landrace","Caudatum","Ethiopia",NA,6.96,35.759998,540,6.960000038
"128","IXPI","PI660559","PI660559","IS7419",NA,"IS7419","Gates","keep",NA,0.1150132448,0.02088429157,1.252582,4,"Landrace","Guinea","Nigeria",NA,7,10.258881,NA,7
"129","SAMEA12302572","PI534070","PI534070",NA,NA,"BE 25","SAP",NA,NA,0.2567361848,0.01267798422,0.954493,4,"Breeding",NA,"Nigeria",NA,7,10.26000023,NA,NA
"130","IFFF","PI330796","PI330796","IS12080",NA,"IS12080","BAP",NA,NA,0.1042902334,0.01816948175,1.002307,5,"Landrace",NA,"Ethiopia",NA,7.050001,37.599998,1350,7.050000191
