"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"416","IZIR","Ni230_247",NA,NA,"Ni230",NA,"Gates",NA,NA,0.1073793323,0.02453934383,1.227852,20,"Landrace","Durra-caudatum","Niger","28.Tiki Hameau",13.24466667,7.723194444,NA,NA
"417","IZIP","Ni224_310",NA,NA,"Ni224","Ja Dawa","Gates",NA,NA,0.1111972175,0.02088557363,1.309566,20,"Landrace","Durra-caudatum","Niger","27.Tiki Route",13.24772222,7.736416667,NA,NA
"418","IZIH","Ni202_133",NA,NA,"Ni202","Kaura Mai Sauri-10% moldy","Gates",NA,NA,0.1237428187,0.02480588386,1.353166,20,"Landrace","Durra-caudatum","Niger","18.Samiya",13.27002778,8.233194444,NA,NA
"419","IZIK","Ni213_188",NA,NA,"Ni213","Kaura","Gates",NA,NA,0.1115316478,0.01960686089,1.255562,13,"Landrace","Durra-caudatum","Niger","22.Jimai",13.30761111,8.074944444,NA,NA
"420","INTU","7813_AGG324611SORG","AGG324611SORG","IS23666",NA,NA,"Gates",NA,NA,0.1752277267,0.03763024218,2.401262,10,"Landrace",NA,"Gambia",NA,13.312229,-15.885547,NA,NA
"421","IPCF","PI514293","PI514293",NA,NA,"Nieniko","Gates",NA,NA,0.1779539992,0.03584443943,2.399459,10,"Cultivar","Guinea-bicolor","Senegal",NA,13.32,-13.29,NA,13.32
"422","IZIL","Ni214_254",NA,NA,"Ni214","Kaurari","Gates",NA,NA,0.1228627345,0.02281847287,1.318437,4,"Landrace","Durra-caudatum","Niger","23.Guidan Kwagui",13.32375,8.047166667,NA,NA
"423","IXMR","PI513488","PI513488",NA,NA,"Labameram","Gates",NA,NA,0.1102006651,0.02189832296,1.23502,13,"Cultivar","Durra-caudatum","Niger",NA,13.32436,12.01652,NA,13.32436
"424","JHHF","PI586161","PI586161","IS27354",NA,"IS27354","Gates",NA,NA,0.1067780233,0.01986910092,1.186927,17,"Landrace,Cultivated","Guinea","Burkina Faso",NA,13.333333,-1.533333,NA,13.31000042
"425","IXMM","PI513397","PI513397",NA,NA,"Gaberi Boul","Gates",NA,NA,0.1144093846,0.0203284607,1.252023,20,"Cultivar","Caudatum-bicolor","Niger",NA,13.35999966,12.65999985,NA,13.35999966
"426","IZIG","Ni200_256",NA,NA,"Ni200",NA,"Gates",NA,NA,0.08682190685,0.04092727416,0.861393,13,"Landrace","Durra-caudatum","Niger","17.Hawan Dawaki",13.36005556,8.235916667,NA,NA
"427","INMW","PI514456_IS_20043","PI514456","IS20043",NA,"Sg. 1873","BAP",NA,NA,0.1116314223,0.02022559298,1.180558,17,"Landrace,Cultivated","Guinea","Senegal",NA,13.380001,-12.279999,NA,13.380001
"428","IZIM","Ni217_176",NA,NA,"Ni217","Kaurari ** clean grain","Gates",NA,NA,0.1175846145,0.02020541862,1.109415,8,"Landrace","Durra-caudatum","Niger","25.Guidan Tanko",13.42352778,7.783638889,NA,NA
"429","IZIN","Ni218_249",NA,NA,"Ni218",NA,"Gates",NA,NA,0.08580522208,0.0236580285,0.966537,5,"Landrace","Durra-caudatum","Niger","25.Guidan Tanko",13.42352778,7.783638889,NA,NA
"430","IXPN","PI513763","PI513763",NA,NA,"Amokiore","Gates",NA,NA,0.1138921823,0.02507061508,1.243952,2,"Cultivar","Caudatum","Niger",NA,13.430583,2.995058,NA,13.430583
"431","INSW","7790_AGG324564SORG","AGG324564SORG","IS32087",NA,"YSC 3067","Gates",NA,NA,0.1221460942,0.02205203816,1.197531,19,"Landrace",NA,"Yemen",NA,13.439999,44.459999,1380,NA
"432","ISHE","PI522125","PI522125",NA,NA,"Hafijega","Gates",NA,NA,0.1739396154,0.03893556485,2.416712,10,"Wild","Guinea","Gambia",NA,13.443183,-15.31014,NA,13.443183
"433","INSX","7791_AGG324565SORG","AGG324565SORG","IS31852",NA,"YSC 2275","Gates",NA,NA,0.1249598011,0.02528804448,1.344348,2,"Landrace",NA,"Yemen",NA,13.449999,44.470001,200,NA
"434","IXQJ","PI475369","PI475369","IS28688",NA,"IS28688","Gates",NA,NA,0.1658909094,0.03452243335,1.184428,2,"Landrace","Durra","Yemen",NA,13.449999,44.470001,200,13.449999
"435","INXL","PI474993","PI474993","IS28332",NA,"IS28332","Gates",NA,NA,0.1221327558,0.02686494284,1.309311,2,"Landrace","Kafir-caudatum","Yemen",NA,13.470001,44.090001,215,13.470001
"436","IZIF","Ni179_139",NA,NA,"Ni179","Kaurari","Gates",NA,NA,0.07628313713,0.02728425737,0.941906,9,"Landrace","Durra-caudatum","Niger","10.Rigaguen Marke",13.48477778,9.354694444,NA,NA
"437","ISIA","PI656035","PI656035",NA,NA,"El Mota","Gates","keep",NA,0.1044216207,0.02272240648,1.113008,9,"Cultivar",NA,"Niger",NA,13.487388,2.144779,NA,13.487388
"438","IUIA","PI570511","PI570511","IS3586",NA,"A/54 IS3586","Gates",NA,NA,0.08890829719,0.03132057678,0.92332,5,"Landrace,Cultivated","Caudatum","Sudan",NA,13.5,23.5,NA,13.5
"439","IPCG","PI514353","PI514353",NA,NA,"Congossane","Gates",NA,NA,0.1030403902,0.02357807961,1.157742,17,"Cultivar","Guinea","Senegal",NA,13.52,-13.51,NA,13.52
"440","IXMN","PI513402","PI513402",NA,NA,"Nassartiako","Gates",NA,NA,0.1026184146,0.0279031997,1.117164,13,"Cultivar","Durra-caudatum","Niger",NA,13.5251,13.1019,NA,13.5251
